"post_id","user","date","is_accepted_answer"
"12391","mootari","2020-08-31T16:20:08.220Z","FALSE"
"12390","aaronkyle","2020-08-31T15:53:43.189Z","FALSE"
"12389","mootari","2020-08-31T15:48:16.998Z","FALSE"
"12387","ILogre","2020-08-31T14:19:45.828Z","FALSE"
"12386","flimsyhat","2020-08-31T10:32:27.236Z","FALSE"
"12384","lsh","2020-08-30T20:15:27.105Z","FALSE"
"12381","mootari","2020-08-30T13:10:24.362Z","FALSE"
"12380","aaronkyle","2020-08-30T11:22:18.894Z","FALSE"
"12378","Fil","2020-08-30T09:13:32.488Z","TRUE"
"12377","mootari","2020-08-30T09:08:05.425Z","FALSE"
"12376","mootari","2020-08-30T09:02:09.239Z","FALSE"
"12375","aaronkyle","2020-08-30T08:08:15.284Z","FALSE"
"12374","Fil","2020-08-30T08:02:50.489Z","FALSE"
"12372","lsh","2020-08-29T22:45:36.113Z","FALSE"
"12371","jrus","2020-08-29T21:51:38.704Z","FALSE"
"12369","mootari","2020-08-29T20:06:36.069Z","FALSE"
"12368","aaronkyle","2020-08-29T19:42:01.617Z","FALSE"
"12367","mootari","2020-08-29T19:39:16.744Z","FALSE"
"12366","aaronkyle","2020-08-29T18:50:10.492Z","FALSE"
"12365","aaronkyle","2020-08-29T18:38:56.774Z","FALSE"
"12364","mootari","2020-08-29T15:49:03.481Z","TRUE"
"12363","aaronkyle","2020-08-29T14:29:13.728Z","FALSE"
"12361","severo","2020-08-29T13:04:35.026Z","FALSE"
"12360","j-f1","2020-08-29T11:59:36.479Z","FALSE"
"12357","attharmirza","2020-08-29T01:49:15.361Z","FALSE"
"12355","mbostock","2020-08-29T00:12:08.211Z","FALSE"
"12354","GCA","2020-08-29T00:01:12.169Z","FALSE"
"12353","jrus","2020-08-28T23:53:39.660Z","FALSE"
"12351","lsh","2020-08-28T19:16:00.362Z","FALSE"
"12349","mootari","2020-08-28T17:31:21.152Z","FALSE"
"12348","kpm-at-hfi","2020-08-28T17:06:38.573Z","FALSE"
"12347","kpm-at-hfi","2020-08-28T16:56:43.510Z","FALSE"
"12346","mootari","2020-08-28T16:46:17.167Z","FALSE"
"12345","kpm-at-hfi","2020-08-28T16:32:03.025Z","FALSE"
"12344","Srabutdotcom","2020-08-28T15:56:28.952Z","FALSE"
"12343","gordo","2020-08-28T15:28:15.229Z","FALSE"
"12342","aaronkyle","2020-08-28T14:41:16.192Z","FALSE"
"12341","Cobus","2020-08-28T13:13:04.272Z","FALSE"
"12340","aaronkyle","2020-08-28T13:06:08.693Z","FALSE"
"12339","Cobus","2020-08-28T12:27:09.028Z","FALSE"
"12338","aaronkyle","2020-08-28T12:23:57.674Z","FALSE"
"12337","Cobus","2020-08-28T12:16:02.046Z","TRUE"
"12335","Srabutdotcom","2020-08-28T10:53:56.341Z","FALSE"
"12334","mcmcclur","2020-08-28T10:16:20.426Z","FALSE"
"12333","aaronkyle","2020-08-28T08:36:35.106Z","FALSE"
"12332","aaronkyle","2020-08-28T08:35:17.353Z","FALSE"
"12331","aaronkyle","2020-08-28T08:17:49.347Z","FALSE"
"12330","theojolliffe","2020-08-28T07:59:12.673Z","FALSE"
